Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Porzana porzana,Spotted Crake,0.1758,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_11-16-10.wav
0.0,3.0,Dryobates minor,Lesser Spotted Woodpecker,0.0152,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_11-16-10.wav
0.0,3.0,Salpinctes obsoletus,Rock Wren,0.0151,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_11-16-10.wav
0.0,3.0,Zonotrichia leucophrys,White-crowned Sparrow,0.0058,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_11-16-10.wav
0.0,3.0,Sporophila lineola,Lined Seedeater,0.0039,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_11-16-10.wav
3.0,6.0,Porzana porzana,Spotted Crake,0.0839,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_11-16-10.wav
3.0,6.0,Dryobates minor,Lesser Spotted Woodpecker,0.0184,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_11-16-10.wav
3.0,6.0,Salpinctes obsoletus,Rock Wren,0.0168,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_11-16-10.wav
3.0,6.0,Zonotrichia leucophrys,White-crowned Sparrow,0.0074,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_11-16-10.wav
3.0,6.0,Branta canadensis,Canada Goose,0.0044,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_11-16-10.wav
6.0,9.0,Synallaxis subpudica,Silvery-throated Spinetail,0.0389,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_11-16-10.wav
6.0,9.0,Chlorospingus semifuscus,Dusky Chlorospingus,0.0311,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_11-16-10.wav
6.0,9.0,Myiothlypis nigrocristata,Black-crested Warbler,0.0230,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_11-16-10.wav
6.0,9.0,Asthenes fuliginosa,White-chinned Thistletail,0.0159,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_11-16-10.wav
6.0,9.0,Metallura tyrianthina,Tyrian Metaltail,0.0137,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_11-16-10.wav
9.0,12.0,Corvus monedula,Eurasian Jackdaw,0.0763,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_11-16-10.wav
9.0,12.0,Pygoscelis antarcticus,Chinstrap Penguin,0.0421,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_11-16-10.wav
9.0,12.0,Melanerpes hypopolius,Gray-breasted Woodpecker,0.0346,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_11-16-10.wav
9.0,12.0,Taeniopygia guttata,Zebra Finch,0.0281,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_11-16-10.wav
9.0,12.0,Hydrocoloeus minutus,Little Gull,0.0265,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_11-16-10.wav
12.0,15.0,Corvus monedula,Eurasian Jackdaw,0.3492,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_11-16-10.wav
12.0,15.0,Campylorhynchus zonatus,Band-backed Wren,0.0452,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_11-16-10.wav
12.0,15.0,Lophochroa leadbeateri,Pink Cockatoo,0.0302,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_11-16-10.wav
12.0,15.0,Campephilus pollens,Powerful Woodpecker,0.0188,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_11-16-10.wav
12.0,15.0,Dicrurus bracteatus,Spangled Drongo,0.0180,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_11-16-10.wav
15.0,18.0,Corvus monedula,Eurasian Jackdaw,0.5458,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_11-16-10.wav
15.0,18.0,Dryocopus pileatus,Pileated Woodpecker,0.0403,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_11-16-10.wav
15.0,18.0,Melanerpes hypopolius,Gray-breasted Woodpecker,0.0249,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_11-16-10.wav
15.0,18.0,Turdoides jardineii,Arrow-marked Babbler,0.0233,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_11-16-10.wav
15.0,18.0,Campephilus pollens,Powerful Woodpecker,0.0225,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_11-16-10.wav
18.0,20.0,Picus erythropygius,Black-headed Woodpecker,0.0464,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_11-16-10.wav
18.0,20.0,Pomatostomus superciliosus,White-browed Babbler,0.0330,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_11-16-10.wav
18.0,20.0,Corvus monedula,Eurasian Jackdaw,0.0213,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_11-16-10.wav
18.0,20.0,Clamator glandarius,Great Spotted Cuckoo,0.0175,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_11-16-10.wav
18.0,20.0,Melanerpes hypopolius,Gray-breasted Woodpecker,0.0174,c:\Users\fresh\Documents\AudioBirder\station\data\segments\2025-06-25_11-16-10.wav
